dataset,fold,model,seed,accuracy,precision,recall,f1,threshold,threshold_percentile,training_time_sec,inference_time_sec,epochs_ran,final_train_loss,final_val_loss
batadal,0,cnn,7,0.7421981004070556,0.94,0.3381294964028777,0.4973544973544973,0.12413979321718216,95.0,13.17635649300064,0.23556484499931685,10,0.10864718170472087,0.10455439984798431
batadal,0,cnn,42,0.762550881953867,0.9813084112149533,0.3776978417266187,0.5454545454545454,0.11442680656909943,95.0,12.880232610001258,0.22706735400061007,10,0.10481321040926309,0.09580182510873546
batadal,0,cnn,123,0.7272727272727273,0.9873417721518988,0.2805755395683453,0.4369747899159664,0.1154278814792633,95.0,12.94067776099837,0.40412650399957784,10,0.10738471055989153,0.09581323097581448
batadal,0,cnn,999,0.7544097693351425,0.944954128440367,0.37050359712230213,0.5322997416020672,0.11445949971675873,95.0,12.922500855002,0.22885368899733294,10,0.10675967325919587,0.09684650308412054
batadal,0,cnn,2026,0.7693351424694709,0.9153846153846154,0.42805755395683454,0.5833333333333334,0.12108081579208374,95.0,13.382567464002932,0.2779878689980251,10,0.10982678752929578,0.10352030266886172
batadal,0,lstm,7,0.6282225237449118,1.0,0.014388489208633094,0.028368794326241134,0.4222775101661682,95.0,39.62695419300144,0.9373874369994155,10,0.3418924733593992,0.3480287518190301
batadal,0,lstm,42,0.6336499321573948,1.0,0.02877697841726619,0.055944055944055944,0.4331561028957367,95.0,38.50793947999773,0.9450824930027011,10,0.34862473147708845,0.352582441723865
batadal,0,lstm,123,0.6282225237449118,0.75,0.02158273381294964,0.04195804195804196,0.42616963386535645,95.0,39.29574514200067,0.9182809300000372,10,0.34127904745271503,0.34960209481094195
batadal,0,lstm,999,0.6322930800542741,0.8181818181818182,0.03237410071942446,0.06228373702422145,0.4220573604106903,95.0,43.26591195999936,0.9544857239998237,10,0.34241705489049673,0.3478278738001119
batadal,0,lstm,2026,0.6241519674355496,0.5555555555555556,0.017985611510791366,0.03484320557491289,0.42059722542762756,95.0,39.85558582199883,0.9304262240002572,10,0.33915407938931463,0.34526600008425506
skab,0,cnn,7,0.5428377153218495,0.46794338051623646,0.28969072164948456,0.3578478191658707,0.007972532883286476,95.0,69.87882423199699,1.3198429760013823,10,0.0012803194443989465,0.004507755574962073
skab,1,cnn,7,0.5523441055985435,0.0,0.0,0.0,0.01253536343574524,95.0,63.08611776399994,1.3332257109977945,9,0.0014705867244721557,0.0005494841605162513
skab,2,cnn,7,0.5185522422035056,0.31976744186046513,0.08553654743390357,0.13496932515337423,0.0015825836453586817,95.0,70.51135291100218,1.7472785859972646,10,0.0015861299476582489,0.0004232192241514343
skab,3,cnn,7,0.5078449469312414,0.0,0.0,0.0,0.0029613622464239597,95.0,73.05515442199976,1.3981377150012122,10,0.0014750824321851787,0.00043840041931079385
skab,4,cnn,7,0.5549054905490549,0.7142857142857143,0.0249003984063745,0.04812319538017324,0.002392664086073637,95.0,85.02887223700236,1.7587792270023783,10,0.001587016872528445,0.0007766302029177125
skab,0,cnn,42,0.5419310970081596,0.466278101582015,0.28865979381443296,0.3565743393823623,0.010611387901008129,95.0,42.666589675998694,1.3454732699974556,6,0.0017546221914168869,0.0008336209624196147
skab,1,cnn,42,0.5457441966317707,0.0,0.0,0.0,0.008384272456169128,95.0,64.80136295699776,1.3131419689998438,9,0.0015461875573435483,0.0005045677822466871
skab,2,cnn,42,0.5226496699294332,0.0,0.0,0.0,0.0033481731079518795,95.0,72.30333226999937,1.740399817997968,10,0.001419073329049063,0.000619453431421457
skab,3,cnn,42,0.5179972311952007,0.0,0.0,0.0,0.006856770254671574,95.0,71.57395291099965,1.3722637499995471,10,0.0015274492778476305,0.0005184918501120256
skab,4,cnn,42,0.5481548154815482,0.0,0.0,0.0,0.01808088645339012,95.0,45.374780629997986,1.4903383569981088,6,0.0017288772358634234,0.0018556733999819217
skab,0,cnn,123,0.5385312783318223,0.4603960396039604,0.2876288659793814,0.35406091370558374,0.0020008536521345377,95.0,72.38682048199917,1.398183968001831,10,0.0013897014440714718,0.0019087561041077593
skab,1,cnn,123,0.5505234410559854,0.0,0.0,0.0,0.005460989195853472,95.0,72.00303503599935,1.5607287639977585,10,0.0013781036861365264,0.00030898427836379365
skab,2,cnn,123,0.5736398816298657,0.5732984293193717,0.11353032659409021,0.18952834270878408,0.009168755263090134,95.0,58.777235823999945,1.6614329730000463,8,0.0017611945437546904,0.0013375596217792725
